contact_id,message,dir,emotion
user_0,I'm so happy today!,sent,joy
user_1,"I have to tell you, I'm so happy today!!",sent,joy
user_2,"Hey, I'm so happy today!...",sent,joy
user_3,"I have to tell you, I'm so happy completely today! for real",sent,joy
user_4,"I have to tell you, I'm so happy really today!...",sent,joy
user_5,"You know what, I'm so happy today! honestly",sent,joy
user_6,"Honestly, I'm so happy today! today",sent,joy
user_7,"To be honest, I'm so so happy today!",sent,joy
user_8,"Listen, I'm utterly so happy today!!!",sent,joy
user_9,"Honestly, I'm so happy today! at the moment",sent,joy
user_10,"Listen, I'm so happy today!",sent,joy
user_11,This brings me so much joy!,sent,joy
user_12,"Just so you know, This brings me so much joy! for real",sent,joy
user_13,"Hey, This brings me so absolutely much joy!!!",sent,joy
user_14,"To be honest, This brings me so much joy! at the moment",sent,joy
user_15,"You know what, This brings me so much joy! today",sent,joy
user_16,"Listen, This brings me very so much joy! today",sent,joy
user_17,"I have to tell you, This brings me so much joy! at the moment",sent,joy
user_18,"You know what, This incredibly brings me so much joy!!!",sent,joy
user_19,"Listen, This brings very me so much joy! today",sent,joy
user_20,This brings me so much joy! at the moment,sent,joy
user_21,"Hey, This brings me so much really joy! right now",sent,joy
user_22,I feel absolutely wonderful,sent,joy
user_23,I feel really absolutely wonderful...,sent,joy
user_24,"You know what, I feel absolutely wonderful",sent,joy
user_25,"Hey, I feel absolutely truly wonderful",sent,joy
user_26,"Honestly, I feel absolutely wonderful right now",sent,joy
user_27,"I just want to say, I feel absolutely wonderful seriously",sent,joy
user_29,"Honestly, I feel absolutely wonderful!",sent,joy
user_30,I feel absolutely completely wonderful right now,sent,joy
user_31,"To be honest, I feel absolutely wonderful!!",sent,joy
user_32,I feel truly absolutely wonderful!!,sent,joy
user_33,My heart is filled with happiness,sent,joy
user_34,"Hey, My heart is filled with happiness today",sent,joy
user_35,"Hey, My heart is filled with happiness",sent,joy
user_36,"To be honest, My heart is filled with happiness!!",sent,joy
user_37,"Hey, My heart is filled with happiness for real",sent,joy
user_38,"Listen, My heart is filled completely with happiness for real",sent,joy
user_39,"I just want to say, My heart is filled with happiness seriously",sent,joy
user_40,"To be honest, My heart is filled with happiness for real",sent,joy
user_41,"To be honest, My heart is filled with really happiness today",sent,joy
user_42,"You know what, My heart is filled with happiness right now",sent,joy
user_43,My heart is filled with happiness honestly,sent,joy
user_44,This is the best day ever!,sent,joy
